x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,y
110000,1,49,0,110000,0,0,0,99998,99998,99998,2,2,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,-999,-999,-999,4,4,3,1,1,-999,-999,-999,-999,-999,-999,1,-999,3,2,2,3,1,5,5,-999,-999,3,0,0,0,0,3,158,108,160,3,1,1,1,0,0,2,2,0,0,1,4,4,3,4,4,4,1,0,-999,1,0,3,1,1,-999,-999,-999,0,0,7,1
320000,0,51,0,320000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4,3,2,2,4,6,5,2,3,4,8,6,8,3,3,153,106,150,2,1,1,0,0,0,5,2,0,0,1,4,4,3,3,3,3,1,0,6,0,0,2,1,1,-1,-1,0,1,2,8,1
130000,1,47,1,130000,0,0,0,2,2,2,2,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,1,1,2,3,3,2,1,5,4,0,7,0,6,3,170,150,160,3,5,1,0,0,0,2,3,1,0,1,4,4,4,4,4,4,2,1,4,1,0,1,-999,2,0,0,-1,1,0,1,1
440000,0,52,1,440000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0,0,0,3,3,3,4,4,2,5,5,6,1,3,175,151,173,3,1,4,0,0,0,3,2,1,1,1,4,4,3,3,3,3,2,1,8,0,1,1,2,1,-1,3,-1,1,-1,2,1
610000,0,50,1,610000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,2,2,3,1,4,4,4,4,4,4,4,0,0,3,169,120,160,2,1,1,0,0,0,2,2,1,1,1,4,4,3,3,3,3,1,1,8,0,0,3,1,1,0,-999,0,1,1,8,1
450000,0,40,1,450000,0,0,0,1,99998,1,1,99999,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,4,4,1,4,3,3,1,1,3,3,1,7,1,2,158,100,158,3,1,1,0,0,0,2,3,1,1,1,4,4,3,3,3,3,2,0,6,0,0,1,1,1,0,-1,-1,1,0,8,1
420000,0,45,1,420000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,3,3,1,1,1,1,4,4,2,1,2,-999,-999,1,-999,2,1,1,2,3,4,4,2,5,2,3,2,4,2,3,168,150,168,4,4,1,0,0,20,2,3,0,1,1,4,4,4,4,4,4,1,1,6,0,0,1,1,1,1,0,0,1,0,8,1
420000,1,52,1,420000,1,1,0,1,99998,1,99998,2,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,4,1,1,1,4,4,2,-999,1,2,2,1,-999,5,5,2,5,3,5,5,1,4,4,5,5,5,4,3,176,130,175,2,1,1,0,0,0,1,1,1,1,2,4,4,3,3,3,3,1,0,6,1,0,4,1,1,0,0,0,1,2,2,1
450000,0,58,0,450000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0,0,0,3,6,3,1,4,1,1,1,3,1,3,148,100,148,5,4,1,1,0,180,2,2,0,0,1,4,3,3,4,4,3,1,0,-999,0,1,-999,1,1,-999,-1,1,1,1,8,1
330000,0,56,0,330000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,4,2,4,4,4,4,3,4,4,4,4,1,-999,4,2,2,5,1,6,6,1,5,4,7,7,7,5,4,161,141,161,1,1,3,0,0,0,1,1,0,0,1,1,2,3,2,3,3,1,1,3,0,1,-999,1,1,2,-1,2,1,2,8,1
